Brand;Nome vino;Annata;Formato;Prezzo originale €;Prezzo scontato €;Sconto %;Data rilevazione;Link
LUPO MERAVIGLIA;Puglia IGT Tre di Tre 2023 Lupo Meraviglia;2023;0,75 L;9.9;9.9;0.0%;2026-03-20;https://www.vino.com/dettaglio/puglia-igt-tre-di-tre-lupo-meraviglia-2023.html
LUPO MERAVIGLIA;Puglia IGT Tre di Tre 2023 Lupo Meraviglia, 6 bottiglie da 0,75 ℓ;2023;0,75 L;59.4;59.4;0.0%;2026-03-20;https://www.vino.com/dettaglio/puglia-igt-tre-di-tre-lupo-meraviglia-2023_v.html
LUPO MERAVIGLIA;Puglia IGT Vermentino Uno di Uno 2025 Lupo Meraviglia;2025;0,75 L;10.4;9.9;4.8%;2026-03-20;https://www.vino.com/dettaglio/puglia-igt-vermentino-uno-di-uno-lupo-meraviglia-2025.html
LUPO MERAVIGLIA;Puglia IGT Uno di Uno Rosé 2024 Lupo Meraviglia;2024;0,75 L;7.4;7.4;0.0%;2026-03-20;https://www.vino.com/dettaglio/puglia-igt-due-di-due-rosato-lupo-meraviglia-2024.html
LUPO MERAVIGLIA;Puglia IGT Rosso Due di Due 2023 Lupo Meraviglia;2023;0,75 L;11.2;11.2;0.0%;2026-03-20;https://www.vino.com/dettaglio/puglia-igt-due-di-due-lupo-meraviglia-2023.html
LUPO MERAVIGLIA;Puglia IGT Rosso Tre di Tre Limited Edition 2023 Lupo Meraviglia;2023;0,75 L;14.9;14.9;0.0%;2026-03-20;https://www.vino.com/dettaglio/puglia-igt-rosso-tre-di-tre-limited-edition-lupo-meraviglia-2023.html
LUPO MERAVIGLIA;Puglia IGT Rosso Tre di Tre Limited Edition 2023 Lupo Meraviglia, 6 bottiglie da 0,75 ℓ;2023;0,75 L;89.4;89.4;0.0%;2026-03-20;https://www.vino.com/dettaglio/puglia-igt-rosso-tre-di-tre-limited-edition-lupo-meraviglia-2023_v.html
LUPO MERAVIGLIA;Puglia IGT Tre di Tre 2023 Lupo Meraviglia;2023;Magnum 1,5 L;19.9;18.9;5.0%;2026-03-20;https://www.vino.com/dettaglio/puglia-igt-tre-di-tre-magnum-lupo-meraviglia-2023.html
GRAN PASSIONE;Veneto IGT Rosso Gran Passione 2024 Botter;2024;0,75 L;7.4;7.4;0.0%;2026-03-20;https://www.vino.com/dettaglio/veneto-igt-rosso-gran-passione-2024.html
GRAN PASSIONE;Veneto IGT Rosso Gran Passione 2024 Botter, 6 bottiglie da 0,75 ℓ;2024;0,75 L;44.4;44.4;0.0%;2026-03-20;https://www.vino.com/dettaglio/veneto-igt-rosso-gran-passione-2024_v.html
GRAN PASSIONE;Veneto IGT Bianco Gran Passione 2024 Botter;2024;0,75 L;10.9;10.4;4.6%;2026-03-20;https://www.vino.com/dettaglio/veneto-igt-bianco-gran-passione-2024.html
GRAN PASSIONE;Amarone della Valpolicella DOCG Gran Passione 2019 Botter;2019;0,75 L;24.2;24.2;0.0%;2026-03-20;https://www.vino.com/dettaglio/amarone-della-valpolicella-docg-gran-passione-botter-2019.html
TOR DEL COLLE;Biferno DOC Rosso Riserva 2019 Tor Del Colle;2019;0,75 L;7.1;7.1;0.0%;2026-03-20;https://www.vino.com/dettaglio/biferno-doc-rosso-riserva-tor-del-colle-2019.html
TOR DEL COLLE;Terre d'Abruzzo IGT Pecorino 2024 Tor Del Colle;2024;0,75 L;7.1;7.1;0.0%;2026-03-20;https://www.vino.com/dettaglio/terre-dabruzzo-igt-pecorino-tor-del-colle-2024.html
TOR DEL COLLE;Molise DOC Rosso Riserva 2018 Tor Del Colle;2018;0,75 L;10.5;9.9;5.7%;2026-03-20;https://www.vino.com/dettaglio/molise-doc-rosso-riserva-tor-del-colle-2018.html
TOR DEL COLLE;Montepulciano d'Abruzzo DOC Riserva 2020 Tor Del Colle;2020;0,75 L;9.9;9.4;5.1%;2026-03-20;https://www.vino.com/dettaglio/montepulciano-abruzzo-doc-riserva-tor-del-colle-2020.html
BRILLA!;Prosecco  DOC Extra Dry Brilla!;NV;0,75 L;10.0;10.0;0.0%;2026-03-20;https://www.vino.com/dettaglio/prosecco-doc-brilla.html
BRILLA!;Prosecco Superiore di Asolo DOCG Brut Brilla!;NV;0,75 L;12.4;12.4;0.0%;2026-03-20;https://www.vino.com/dettaglio/prosecco-asolo-superiore-brilla.html
BRILLA!;Vino Spumante Gassificato Dealcolato Bianco;NV;0,75 L;19.4;18.4;5.1%;2026-03-20;https://www.vino.com/dettaglio/vino-spumante-gassificato-dealcolato-bianco-brilla.html
BRILLA!;Pinot Grigio delle Venezie DOC Rosé 2023 Brilla!;2023;0,75 L;12.8;12.2;4.7%;2026-03-20;https://www.vino.com/dettaglio/delle-venezie-doc-pinot-grigio-rose-brilla-2023.html
BRILLA!;Prosecco DOC Extra Dry Rosé Millesimato 2024 Brilla!;2024;0,75 L;9.6;9.6;0.0%;2026-03-20;https://www.vino.com/dettaglio/prosecco-doc-brut-rose-brilla-2024.html
BRILLA!;Prosecco DOC Extra Dry Brilla!;NV;Magnum 1,5 L;19.9;19.9;0.0%;2026-03-20;https://www.vino.com/dettaglio/asolo-prosecco-superiore-docg-brut-magnum-brilla.html
BRILLA!;Pinot Grigio delle Venezie DOC 2023 Brilla!;2023;0,75 L;12.8;12.2;4.7%;2026-03-20;https://www.vino.com/dettaglio/delle-venezie-doc-pinot-grigio-brilla-2023.html
BORGO DEL MANDORLO;Puglia IGT Rosso Appassimento 2025 Borgo del Mandorlo;2025;0,75 L;8.8;8.8;0.0%;2026-03-20;https://www.vino.com/dettaglio/puglia-igt-rosso-appassimento-borgo-del-mandorlo-2025.html
BORGO DEL MANDORLO;Primitivo di Manduria DOC 2022 Borgo del Mandorlo;2022;0,75 L;12.9;12.3;4.7%;2026-03-20;https://www.vino.com/dettaglio/primitivo-di-manduria-doc-borgo-del-mandorlo-2022.html
BORGO DEL MANDORLO;Primitivo di Manduria DOC Riserva 2021 Borgo del Mandorlo;2021;0,75 L;14.1;14.1;0.0%;2026-03-20;https://www.vino.com/dettaglio/primitivo-di-manduria-doc-riserva-borgo-del-mandorlo-2021.html
VELARINO;Salento IGT Susumaniello 2024 Velarino;2024;0,75 L;10.6;10.1;4.7%;2026-03-20;https://www.vino.com/dettaglio/salento-igt-susumaniello-velarino-2024.html
VELARINO;Puglia IGT Nero di Troia 2024 Velarino;2024;0,75 L;10.8;10.8;0.0%;2026-03-20;https://www.vino.com/dettaglio/puglia-igt-nero-di-troia-velarino-2024.html
VELARINO;Puglia IGT Vermentino 2024 Velarino;2024;0,75 L;7.2;7.2;0.0%;2026-03-20;https://www.vino.com/dettaglio/puglia-igt-vermentino-velarino-2024.html
VELARINO;Salento IGT Malvasia Nera 2023 Velarino;2023;0,75 L;7.3;7.3;0.0%;2026-03-20;https://www.vino.com/dettaglio/salento-igt-malvasia-nera-velarino-2023.html
BOTTER;Puglia IGT Rosso Appassimento 2024 Botter;2024;0,75 L;10.1;10.1;0.0%;2026-03-20;https://www.vino.com/dettaglio/puglia-primitivo-appassimento-velina-botter-2024.html
BOTTER;Prosecco Superiore di Asolo DOCG Botter;NV;0,75 L;10.8;10.3;4.6%;2026-03-20;https://www.vino.com/dettaglio/prosecco-superiore-asolo-docg-botter.html
